Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name
Mobile Device Rules,,Verify MDR Action applied to all public pages minus select page,2h,Manual,,,,,,,
Mobile Device Rules,,Verify MDR Action Prioritization,2i,Manual,,,,,,,
Mobile Device Rules,,Test Group 3 - Export/Import,,,,,,,,,
Mobile Device Rules,,Export Import Mobile Device Rule,3a,Manual,,,,,,,
Mobile Device Rules,,Test Group 4 - Device Detection,,,,,,,,,
Mobile Device Rules,,LMDD - Verify Device iPhone,4a,Manual,,,,,,,
Mobile Device Rules,,LMDD - Verify Device Android,4b,Manual,,,,,,,
Mobile Device Rules,,LMDD - Device Android Tablet,4c,Manual,,,,,,,
Mobile Device Rules,,LMDD - Verify Device Windows PC,4d,Manual,,,,,,,
Mobile Device Rules,,Test Group 5 - Enterprise vs Lite Data Sets,,,,,,,,,
Mobile Device Rules,,LMDD - Deploy LMDD Enterprise over LMDD Lite without uninstall/stopping Lite modules,5a,Manual,,,,,,,
Mobile Device Rules,,LMDD - Deploy LMDD Enterprise over LMDD Lite after stopping/uninstalling Lite modules,5b,Manual,,,,,,,
Mobile Device Rules,,LMDD - Stop/uninstall LMDD Enterprise when LMDD Lite is also available when enterprise Operating System is in use,5c,Manual,,3,,,,,https://issues.liferay.com/browse/LPS-86453
Mobile Device Rules,,LMDD - Stop/uninstall LMDD Enterprise when LMDD is also available when lite Operating System is in use,5d,Manual,,,,,,,
Portal Cache,Portal Cache,,,,,,,,,,
Portal Cache,,Test Group 1 - Portal Entity Cache Implement,,,,,,,,,
Portal Cache,,Test notify entity portal cache removed,1a,Unit,-,5,,,,,EntityCacheImplTest#testNotifyPortalCacheRemovedPortalCacheName
Portal Cache,,Test put and get null model result,1b,Unit,-,3,,,,,EntityCacheImplTest#testPutAndGetNullModel
Portal Cache,,Test Group 2 - Portal Finder Cache Implement,,,,,,,,,
Portal Cache,,Test notify finder portal removed portal cache name,2a,Unit,-,5,,,,,FinderCacheImplTest#testNotifyPortalCacheRemovedPortalCacheName
Portal Cache,,Test put empty list of invalid,2b,Unit,-,4,,,,,FinderCacheImplTest#testPutEmptyListInvalid
Portal Cache,,Test put empty list of valid,2c,Unit,-,4,,,,,FinderCacheImplTest#testPutEmptyListValid
Portal Cache,,Test keys collide,2d,Unit,-,3,,,,,FinderCacheImplTest#testTestKeysCollide
Portal Cache,,Test portal cache threshold,2e,Unit,-,3,,,,,FinderCacheImplTest#testThreshold
Portal Cache,,Test Group 3 - Portal Cache API,,,,,,,,,
Portal Cache,,Test portal cache serializable object wrapper,3a,Unit,-,5,,,,,SerializableObjectWrapperTest.java
Portal Cache,,Test Group 4 - Portal Cache Ehcache Implement,,,,,,,,,
Portal Cache,,Ehcache portal cache - cache listener,4a,Unit,-,5,,,,,EhcachePortalCacheTest#testCacheListener
Portal Cache,,Ehcache portal cache - get ehcache,4b,Unit,-,5,,,,,EhcachePortalCacheTest#testGetEhcache
Portal Cache,,Ehcache portal cache - get keys,4c,Unit,-,5,,,,,EhcachePortalCacheTest#testGetKeys
Portal Cache,,Ehcache portal cache - get name,4d,Unit,-,5,,,,,EhcachePortalCacheTest#testGetName
Portal Cache,,Ehcache portal cache - put,4e,Unit,-,5,,,,,EhcachePortalCacheTest#testPut
Portal Cache,,Ehcache portal cache - remove,4f,Unit,-,5,,,,,EhcachePortalCacheTest#testRemove
Portal Cache,,Ehcache portal cache - replace,4g,Unit,-,5,,,,,EhcachePortalCacheTest#testReplace
Portal Cache,,Test Group 5 - Portal Cache Test Util - MVCCPortal Cache,,,,,,,,,
Portal Cache,,Test MVCCPortal cache - for hidden bridge,5a,Unit,-,4,,,,,MVCCPortalCacheTest#testForHiddenBridge
Portal Cache,,Test MVCCPortal cache - MVCCCache with advice,5b,Unit,-,4,,,,,MVCCPortalCacheTest#testMCCCacheWithAdvice
Portal Cache,,Test MVCCPortal cache - MVCCCache without TTL (time to live),5c,Unit,-,3,,,,,MVCCPortalCacheTest#testMCCCacheWithoutTTL
Portal Cache,,Test MVCCPortal cache - MVCCCache with TTL (time to live),5d,Unit,-,3,,,,,MVCCPortalCacheTest#testMCCCacheWithTTL
Portal Cache,,Test Group 6 - Portal Cache Test Util - Transactional Portal Cache,,,,,,,,,
Portal Cache,,Test transactional portal cache - concurrent transaction for MVCCPortal cache,6a,Unit,-,4,,,,,TransactionalPortalCacheTest#testConcurrentTransactionForMVCCPortalCache
Portal Cache,,Test transactional portal cache - concurrent transaction for  non MVCCPortal cache,6b,Unit,-,5,,,,,TransactionalPortalCacheTest#testConcurrentTransactionForNonmvccPortalCache
Portal Cache,,Test transactional portal cache - miscellaneous,6c,Unit,-,3,,,,,TransactionalPortalCacheTest#testMisc
Portal Cache,,Test transactional portal cache - none transactional cache,6d,Unit,-,3,,,,,TransactionalPortalCacheTest#testNoneTransactionalCache
Portal Cache,,Test transactional portal cache - transactional cache with parameter validation,6e,Unit,-,3,,,,,TransactionalPortalCacheTest#testTransactionalCacheWithParameterValidation
Portal Cache,,Test transactional portal cache - transactional portal cache helper enabled,6f,Unit,-,3,,,,,TransactionalPortalCacheTest#testTransactionalPortalCachehelperEnabled
Portal Cache,,Test transactional portal cache - transactional portal cache with real MVCCPortal cache,6g,Unit,-,3,,,,,TransactionalPortalCacheTest#testTransactionalPortalCacheWithRealMVCCPortalCache
Portal Cache,,Test transactional portal cache - transaction lifecycle listener enabled with barrier,6h,Unit,-,3,,,,,TransactionalPortalCacheTest#testTransactionLifecycleListenerEnabledWithBarrier
Portal Cache,,Test transactional portal cache - transaction lifecycle listener enabled with exist transaction,6i,Unit,-,3,,,,,TransactionalPortalCacheTest#testTransactionLifecycleListenerEnabledWithExistTransaction
Portal Cache,,Test transactional portal cache - transaction lifecycle listener enabled without barrier,6j,Unit,-,3,,,,,TransactionalPortalCacheTest#testTransactionLifecycleListenerEnabledWithoutBarrier
Portal Cache,,Test Group 7 - Portal Cache Configuration,,,,,,,,,
Portal Cache,,Portal cache - disabled cache table mapper tables (no test coverage),7a,Manual,,3,,,,,This is going to be difficult to test manually
Portal Cache,,Portal cache - modify defaultCache configuration,7b,Manual,,3,,,,,
Portal Cache,,Portal cache - modify cache configuration file,7c,Manual,,3,,,,,
Portal Cache,,Portal cache - cache configuration with a module,7d,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53786
Portal Cache,,Portal cache - serialization test,7e,Manual,,3,,,,,
Portlet 3,Portlet 3,,,,,,,,,,
Portlet 3,,Test Group 1- Usage ,,,,,,,,,
Portlet 3,,WAR/WAB with portlet.xml/web.xml (handled by TCK),1a,Unit,-,,,,,,
Portlet 3,,WAR/WAB with pure annotations (implemented through CDI),1b,Unit,-,,,,,,
Portlet 3,,WAR/WAB with hybrid portlet.xml + annotations (implemented through CD,1c,Unit,-,,,,,,
Portlet 3,,OSGi bundle with Declarative Services (Skinny WAR / no portlet.xml/no servlet.xml),1d,Manual,-,,,,,,https://issues.liferay.com/browse/LRQA-42958
Portlet 3,,Test Group 2 - Deployment,,,,,,,,,
Portlet 3,,WAR/WAB with portlet.xml (portlet.xml/servlet.xml) - handled by TCK,2a,Unit,-,,,,,,
Portlet 3,,WAR/WAB with pure annotations (Implemented through CDI),2b,Unit,-,,,,,,
Portlet 3,,WAR/WAB with hybrid portlet.xml + annotations (Implemented through CDI),2c,Unit,-,,,,,,
Portlet 3,,OSGi bundle with Declarative Services,2d,Unit,-,,,,,,
Portlet 3,,OSGi bundle service with a low level OSGI API,2e,Unit,-,,,,,,
Portlet 3,,OSGi bundle with CDI (no test coverage at all currently),2f,Manual,-,5,,,,,https://issues.liferay.com/browse/LRQA-42958
Rolling Restarts,Rolling Restarts,,,,,,,,,,
Rolling Restarts,,Test Group 1 - Fix Packs,,,,,,,,,
Rolling Restarts,,Apply fix pack (LRQA-29630),1a,Functional,-,5,,,,,RollingRestartEE#InstallFixPackWithMultipleClusters
Rolling Restarts,,Apply fix pack with database changes,1b,Manual,50,4,,,,,https://issues.liferay.com/browse/LRQA-42993
Rolling Restarts,,Apply fix pack that update database indices,1c,Manual,50,3,,,,,https://issues.liferay.com/browse/LRQA-42994
Rolling Restarts,,Apply fix pack with new OSGI configuration object (LRQA-29768),1d,Functional,50,4,,,,,RollingRestartEE#InstallFixPackWithNewOSGIConfiguration
Rolling Restarts,,Revert fix pack,1e,Functional,-,5,,,,,RollingRestartEE#InstallFixPackWithMultipleClusters
Rolling Restarts,,Test Group 2 - Deployment,,,,,,,,,
Rolling Restarts,,Deployment of new plugins/modules with database changes,2a,Manual,45,4,,,,,https://issues.liferay.com/browse/LRQA-42997
Rolling Restarts,,Deployment of new plugins/modules without database changes (LRQA-29631),2b,Manual,45,3,,,,,https://issues.liferay.com/browse/LRQA-42998
Rolling Restarts,,Update of an existing plugin/module with database changes,2c,Manual,45,4,,,,,https://issues.liferay.com/browse/LRQA-42999
Rolling Restarts,,Update of an existing plugin/module without database changes,2d,Manual,45,3,,,,,https://issues.liferay.com/browse/LRQA-43000
Rolling Restarts,,Disable bundle (LRQA-29773),2e,Manual,60,5,,,,,https://issues.liferay.com/browse/LRQA-43001
Rolling Restarts,,Test Group 3 - Configurations,,,,,,,,,
Rolling Restarts,,Modified portal.properties,3a,Functional,45,3,,,,,RollingRestartEE#UpdatePortalPropertiesWithMultipleClusters
Rolling Restarts,,Test Group 4 - Changes to Application Servers/JVM,,,,,,,,,
Rolling Restarts,,Update Java version (LRQA-29639),4a,Manual,30,3,,,,,https://issues.liferay.com/browse/LRQA-43009
Rolling Restarts,,Test Group 5 - Blue Green Deployment,,,,,,,,,
Rolling Restarts,,Changes to classes that implement serializable (LRQA-30048),5a,Manual,60,4,,,,,https://issues.liferay.com/browse/LRQA-43010
Rolling Restarts,,Test Group 6 - Elasticsearch,,,,,,,,,
Rolling Restarts,,Remote Elasticsearch + X-Pack (LRQA-29769),6a,Functional,-,5,,,,,RollingRestartEE#InstallFixPackWithMultipleClusters
Scheduler,Scheduler,,,,,,,,,,
Scheduler,,Test Group 1 - Basic Configuration Properties,,,,,,,,,
Scheduler,,Properties not verified,1a,Unit,-,4,,,,,SchedulerHelperPropertiesVerifyProcessTest#testNoVerify
Scheduler,,Properties verified,1b,Unit,-,4,,,,,SchedulerHelperPropertiesVerifyProcessTest#testVerify
Scheduler,,Disabled scheduler in the portal-ext.properties,1c,Manual,,3,,,,,
Scheduler,,Set maximum length in the portal-ext.properties to override the default settings,1d,Manual,,3,,,,,
Scheduler,,Set scheduler timeout in the portal-ext.properties,1e,Manual,,3,,,,,
Scheduler,,Changeable memory scheduler quartz properties,1f,Manual,,3,,,,,
Scheduler,,Memory Scheduler quartz property requires class extension,1g,Manual,,3,,,,,
Scheduler,,Persistent scheduler quartz properties require classes extension to modify,1h,Manual,,3,,,,,
Scheduler,,Persistent scheduler quartz properties require change in database,1i,Manual,,3,,,,,
Scheduler,,Test Group 2 - Basic Functions (CRUD),,,,,,,,,
Scheduler,,Delete the single and group jobs from the scheduler,2a,Unit,-,5,,,,,QuartzSchedulerEngineTest#testdelete1
Scheduler,,Initialize job state,2b,Unit,-,5,,,,,QuartzSchedulerEngineTest#testInitJobState
Scheduler,,Pause and resume the scheduled jobs,2c,Unit,-,4,,,,,QuartzSchedulerEngineTest#testPauseAndResume1
Scheduler,,Schedule the jobs,2d,Unit,-,5,,,,,QuartzSchedulerEngineTest#testSchedule1
Scheduler,,Suppress error from the scheduler,2e,Unit,-,3,,,,,QuartzSchedulerEngineTest#testSuppressError
Scheduler,,Unschedule memory and persistent jobs,2f,Unit,-,5,,,,,QuartzSchedulerEngineTest#testUnschedule1
Scheduler,,Update schedule,2g,Unit,-,5,,,,,QuartzSchedulerEngineTest#testUpdate1
Scheduler,,"Test Group 3 - Basic trigger configuration (Interval, cron, timezone)",,,,,,,,,
Scheduler,,Trigger daily schedule every two days,3a,Unit,-,,,,,,QuartzTriggerFactoryTest#testDailyEveryTwoDaysTrigger
Scheduler,,Trigger daily schedule every weekday,3b,Unit,-,,,,,,QuartzTriggerFactoryTest#testDailyEveryWeekdayTrigger
Scheduler,,Trigger monthly schedule on day 12 of every two months,3c,Unit,-,,,,,,QuartzTriggerFactoryTest#testMonthlyDay12OfEveryTwoMonthsTrigger
Scheduler,,Trigger monthly schedule on third tuesday of every three months,3d,Unit,-,,,,,,QuartzTriggerFactoryTest#testMonthlyThirdTuesdayOfEveryThreeMonthsTrigger
Scheduler,,Trigger weekly schedule every sunday,3e,Unit,-,,,,,,QuartzTriggerFactoryTest#testWeeklyEverySundayTrigger
Scheduler,,Trigger weekly schedule on monday and wednesday,3f,Unit,-,,,,,,QuartzTriggerFactoryTest#testWeeklyMondayAndWednesdayTrigger
Scheduler,,Trigger yearly schedule every two years on january 12,3g,Unit,-,,,,,,QuartzTriggerFactoryTest#testYearlyEveryTwoYearsJanuary12Trigger
Scheduler,,Trigger yearly schedule every two years on the third Sunday of March,3h,Unit,-,,,,,,QuartzTriggerFactoryTest#testYearlyEveryTwoYearsThirdSundayOfMarchTrigger
Scheduler,,Trigger schedule with PDT,3i,Manual,,5,,,,,
Scheduler,,Trigger schedule on UTC,3j,Manual,,4,,,,,
Scheduler,,Test Group 4 - Delete Cluster Schedule Jobs (memory clustered and persistence),,,,,,,,,
Scheduler,,Delete memory clustered jobs on master,4a,Unit,-,5,,,,,ClusterSchedulerEngineTest#testDeleteOnMaster
Scheduler,,Delete persistent jobs on master,4b,Unit,-,5,,,,,ClusterSchedulerEngineTest#testDeleteOnMaster
Scheduler,,Delete memory clustered jobs on slave,4c,Unit,-,5,,,,,ClusterSchedulerEngineTest#testDeleteOnSlave
Scheduler,,Delete non existing group memory clustered jobs on slave,4d,Unit,-,4,,,,,ClusterSchedulerEngineTest#testDeleteOnSlave
Scheduler,,Get scheduler jobs,4e,Unit,-,5,,,,,ClusterSchedulerEngineTest#testGetSchedulerJobs
Scheduler,,Test Group 5 - Clustering State Changes,,,,,,,,,
Scheduler,,Master to slave with log disabled,5a,Unit,-,,,,,,ClusterSchedulerEngineTest#testMasterToSlave
Scheduler,,Master to slave with log enabled,5b,Unit,-,,,,,,ClusterSchedulerEngineTest#testMasterToSlave
Scheduler,,Slave to master with log disabled,5c,Unit,-,,,,,,ClusterSchedulerEngineTest#testSlaveToMaster
Scheduler,,Slave to master with log enabled,5d,Unit,-,,,,,,ClusterSchedulerEngineTest#testSlaveToMaster
Scheduler,,Test Group 6 - Pause and  Resume,,,,,,,,,
Scheduler,,Pause and resume memory clustered jobs by job and group names on master,6a,Unit,-,,,,,,ClusterSchedulerEngineTest#testPauseAndResumeOnMaster
Scheduler,,Pause and resume memory clustered jobs by group name on master,6b,Unit,-,,,,,,ClusterSchedulerEngineTest#testPauseAndResumeOnMaster
Scheduler,,Pause and resume persistent jobs by job and group names on master,6c,Unit,-,,,,,,ClusterSchedulerEngineTest#testPauseAndResumeOnMaster
Scheduler,,Pause and resume persistent job by group name on master,6d,Unit,-,,,,,,ClusterSchedulerEngineTest#testPauseAndResumeOnMaster
Scheduler,,Pause and resume memory clustered job by job and group  names on slave,6e,Unit,-,,,,,,ClusterSchedulerEngineTest#testPauseAndResumeOnSlave
Scheduler,,Pause and resume memory clustered job by group name on slave,6f,Unit,-,,,,,,ClusterSchedulerEngineTest#testPauseAndResumeOnSlave
Scheduler,,Pause and resume memory clustered with not existing job on slave,6g,Unit,-,,,,,,ClusterSchedulerEngineTest#testPauseAndResumeOnSlave
Scheduler,,Pause and resume memory clustered with not existing group on slave,6h,Unit,-,,,,,,ClusterSchedulerEngineTest#testPauseAndResumeOnSlave
Scheduler,,Test Group 7 - Clustering Schedule,,,,,,,,,
Scheduler,,Schedule memory clustered jobs on master,7a,Unit,-,,,,,,ClusterSchedulerEngineTest#testScheduleOnMaster
Scheduler,,Schedule persistent jobs on master,7b,Unit,-,,,,,,ClusterSchedulerEngineTest#testScheduleOnMaster
Scheduler,,Schedule jobs on slave,7c,Unit,-,,,,,,ClusterSchedulerEngineTest#testScheduleOnSlave
Scheduler,,Shutdown cluster scheduler,7d,Unit,-,,,,,,ClusterSchedulerEngineTest#testShutdown
Scheduler,,Shutdown clustering with a scheduled job,7e,Manual,,,,,,,
Scheduler,,Restart clustering with a scheduled job,7f,Manual,,,,,,,
Scheduler,,Add node to a clustering with a scheduled job,7g,Manual,,,,,,,
Scheduler,,Remove node from clustering with a scheduled job,7h,Manual,,,,,,,
Scheduler,,Test Group 8 - Suppress Error (memory clustered and persistence),,,,,,,,,
Scheduler,,Suppress memory clustered jobs error on master,8a,Unit,-,,,,,,ClusterSchedulerEngineTest#testSupressErrorOnMaster
Scheduler,,Suppress persistent jobs error on master,8b,Unit,-,,,,,,ClusterSchedulerEngineTest#testSupressErrorOnMaster
Scheduler,,Suppress error on slave,8c,Unit,-,,,,,,ClusterSchedulerEngineTest#testSupressErrorOnSlave
Scheduler,,Test Group 9 - Thread Local,,,,,,,,,
Scheduler,,Thread local persists when portal is starting,9a,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local memory clustered when portal is starting,9b,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local persisted when portal is started,9c,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local memory clustered when portal is started,9d,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local persists when plugin is starting,9e,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local memory clustered when plugin is starting,9f,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local persisted when plugin is destroying,9g,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local memory clustered when plugin is destroying,9h,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local persisted when cluster invoke is disabled,9i,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local persisted when cluster invoke is enabled,9j,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local memory clustered  when cluster invoke is disabled,9k,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Thread local memory clustered  when cluster invoke is enabled,9l,Unit,-,,,,,,ClusterSchedulerEngineTest#testThreadLocal
Scheduler,,Test Group 10 - Clustering Unschedule job,,,,,,,,,
Scheduler,,Unschedule memory clustered on master,10a,Unit,-,,,,,,ClusterSchedulerEngineTest#testUnscheduleOnMaster
Scheduler,,Unschedule memory clustered  jobs by group name on master,10b,Unit,-,,,,,,ClusterSchedulerEngineTest#testUnscheduleOnMaster
Scheduler,,Unschedule persistent jobs on master,10c,Unit,-,,,,,,ClusterSchedulerEngineTest#testUnscheduleOnMaster
Scheduler,,Unschedule persistent jobs by group name on master,10d,Unit,-,,,,,,ClusterSchedulerEngineTest#testUnscheduleOnMaster
Scheduler,,Unschedule memory clustered jobs on slave,10e,Unit,-,,,,,,ClusterSchedulerEngineTest#testUnscheduleOnSlave
Scheduler,,Unschedule memory clustered jobs by group name on slave,10f,Unit,-,,,,,,ClusterSchedulerEngineTest#testUnscheduleOnSlave
Scheduler,,Test Group 11 - Update Cluster schedule jobs,,,,,,,,,
Scheduler,,Update memory clustered jobs on master,11a,Unit,-,,,,,,ClusterSchedulerEngineTest#testUpdateOnMaster
Scheduler,,Update persistent jobs on master,11b,Unit,-,,,,,,ClusterSchedulerEngineTest#testUpdateOnMaster
Scheduler,,Update on slave without exception,11c,Unit,-,,,,,,ClusterSchedulerEngineTest#testUpdateOnSlave
Scheduler,,Update on slave with not existing group name,11d,Unit,-,,,,,,ClusterSchedulerEngineTest#testUpdateOnSlave
Scheduler,,Update on slave with not existing job name,11e,Unit,-,,,,,,ClusterSchedulerEngineTest#testUpdateOnSlave
Scheduler,,Test Group 12 - Modules,,,,,,,,,
Scheduler,,Undeploy module,12a,Manual,,4,,,,,
Scheduler,,Test Group 13 - Rolling restart with scheduler,,,,,,,,,
Scheduler,,Rolling restart with scheduled job,13a,Manual,,4,,,,,
Scheduler,,Test Group 14 - Plugins with scheduler,,,,,,,,,
Scheduler,,Spring xml with a scheduled job,14a,Manual,,5,,,,,
Scheduler,,Ext plugin with a scheduled job,14b,Manual,,3,,,,,
Scheduler,,Hook plugin with a scheduled job,14c,Manual,,2,,,,,
Scheduler,,OSGi Portlet with a scheduled job,14d,Manual,,5,,,,,
Scripting Engine,Scripting Engine,,,,,,,,,,
Scripting Engine,,Test Group 1 - Groovy functionality,,,,,,,,,
Scripting Engine,,Testcase 1a - Groovy sample script functionality,1a,Manual,,5,,,,,https://issues.liferay.com/browse/LRQA-53783
Scripting Engine,,Testcase 1b - Access to Liferay classes,1b,Manual,,5,,,,,GroovyScript#ExecuteScriptWithLiferayClasses
Scripting Engine,,Testcase 1c - Access to predefined variables,1c,Manual,,4,,,,,GroovyScript#ExecuteScriptWithPredefinedVariables
Scripting Engine,,Testcase 1d - Embedded HTML,1d,Manual,,3,,,,,GroovyScript#ExecuteScriptWithEmbeddedHTML
Service Builder,Service Builder,,,,,,,,,,
Service Builder,,Test Group 1 - Entity attribute configurations,,,,,,,,,
Service Builder,,Persistence disabled,1a,Manual,,,,,,,
Service Builder,,Enable all boolean entity attributes,1b,Manual,,,,,,,
Service Builder,,Disable all boolean entity attributes,1c,Manual,,,,,,,
Service Builder,,Versioning improvements (LPS-93045),1d,Integration,,,,,,,portal-tools-service-builder-test-service
Service Builder,,Remote Service,1e,Integration,,,,,,,regular portal usage
Service Builder,,Cache enabled,1f,Manual,,,,,,,No portal usage!?
Service Builder,,Duplicate name,1g,Manual,,,,,,,
Service Builder,,Max length of entity name,1h,Manual,,,,,,,
Service Builder,,Test Group 2 - Column configurations,,,,,,,,,
Service Builder,,String-based primary key,2a,Manual,,,,,,,"portal-impl counter uses String PK, but no persistence"
Service Builder,,Int-based primary key,2b,Manual,,,,,,,No portal usage
Service Builder,,Compound primary keys,2c,Integration,,,,,,,"Portal Impl ""OrgGroupRole"
Service Builder,,Blob column type,2d,Integration,,,,,,,DLContent in document-library-content-service module
Service Builder,,Eager Blob column,2e,Integration,,,,,,,EagerBlobEntity in service builder test
Service Builder,,Null conversions (LPS-81704),2f,Manual,,,,,,,
Service Builder,,UAD (User Associated Data) Anonymize,2g,Integration,,,,,,,Used in portal modules
Service Builder,,UAD Non-Anonymizable,2h,Integration,,,,,,,Used in portal modules
Service Builder,,Test Group 3 - Service builder configurations,,,,,,,,,
Service Builder,,DS dependency-injector,3a,Integration,,,,,,,Used in portal modules
Service Builder,,Spring dependency-injector,3b,Integration,,,,,,,Used by Portal-Impl
Service Builder,,Test Group 4 - Finder configurations,,,,,,,,,
Service Builder,,FinderPaths are private and instanced (LPS-89457),4a,Manual,,,,,,,
Service Builder,,FinderPaths are initialized in afterPropertiesSet method (LPS-89568),4b,Manual,,,,,,,
Service Builder,,Single Column,4c,Integration,,,,,,,regular portal usage
Service Builder,,Multiple Columns,4d,Integration,,,,,,,regular portal usage
Service Builder,,Return type: Entity,4e,Integration,,,,,,,regular portal usage
Service Builder,,Return type: Collection,4f,Integration,,,,,,,regular portal usage
Service Builder,,Return type: Unique only,4g,Integration,,,,,,,regular portal usage
Service Builder,,Return type: No db-index,4h,Manual,,,,,,,
Service Builder,,Where with arrayable-operator/arrayable-pagination (LPS-89228),4i,Integration,,,,,,,portal-tools-service-builder-test-service/service.xml
Service Builder,,Where with matching substring (LPS-62084),4j,Manual,,,,,,,broken at head
Service Builder,,comparator,4k,Integration,,,,,,,modules/apps/blogs/blogs-service/service.xml
Service Builder,,Rename finder column (LPS-79796),4l,Manual,,,,,,,
Service Builder,,Test Group 5 - Generated code,,,,,,,,,
Service Builder,,Getter and setter methods are not duplicated between BaseModelWrapper and <Entity>Model / <Entity>Wrapper classes (LPS-88823),5a,Manual,,,,,,,
Service Builder,,Changes to indexes.sql persist,5b,Manual,,,,,,,
Service Builder,,Entity references in the service.xml create service references in the ServiceBaseImpl classes,5c,Integration,,,,,,,regular portal usage
Service Builder,,Mapping tables between Entities generates many to many relationship,5d,Integration,,,,,,,regular portal usage
Service Builder,,Persistence Tests,5e,Integration,,,,,,,regular portal usage
Service Builder,,Indexable Annotations,5f,Integration,,,,,,,regular portal usage
Service Builder,,Test Group 6 - AOP annotations,,,,,,,,,
Service Builder,,"Ensure portal functionality with AOP refactor (see LPS-86406, LPS-90701)",6a,Manual,,,,,,,
Service Builder,,Ensure functionality of AOP annotations,6b,Integration,,,,,,,com.liferay.portal.aop.test.AopServiceManagerTest
Service Builder,,Test Group 7 - Persistence configuration,,,,,,,,,
Service Builder,,fetchByPrimaryKeys method not generated for new services generated with 7.2 service builder DTD (LPS-90523),7a,Manual,,,,,,,
Service Builder,,fetchByPrimaryKeys method removed from existing services with PersistenceImpl method getBadColumnNames (LPS-90523),7b,Manual,,,,,,,
Service Builder,,Test Group 8 - Exceptions,,,,,,,,,
Service Builder,,Custom Exception,8a,Integration,,,,,,,regular portal usage
Service Builder,,Test Group 9 - Version Compatibility,,,,,,,,,
Service Builder,,6.2 DTD,9a,Manual,,,,,,,
Service Builder,,7.0 DTD,9b,Functional,,,,,,,gradle-plugins-service-builder
Service Builder,,7.1 DTD,9c,Integration,,,,,,,portal-tools-service-builder-test-service
Service Builder,,7.2 DTD,9d,Integration,,,,,,,regular portal usage
Service Builder,,Test Group 10 - Database Compatibility,,,,,,,,,
Service Builder,,Oracle,10a,Integration,,,,,,,Running CI tests on Oracle DB
Service Builder,,IBM DB2,10b,Integration,,,,,,,Running CI tests on DB2
Service Builder,,Sybase,10c,Integration,,,,,,,Running CI tests on Sybase
Service Builder,,Test Group 11 - Model Hints,,,,,,,,,
Service Builder,,Required with hint collection,11a,Integration,,,,,,,Portal Impl Usage (portal-modal-hints.xml)
Service Builder,,Test Group 12 - JDK 11 Support,,,,,,,,,
Service Builder,,Generate with JDK 11,12a,Manual,,,,,,,
Service Builder,,Test Group 13 - Non-Liferay Database,,,,,,,,,
Service Builder,,Declarative Services,13a,Manual,,,,,,,blade samples?
Service Builder,,"JDBC (Docs 7.1, 7.2)",13b,Integration,,,,,,,external-data-source-test-controller-test
Service Builder,,JNDI (Sample),13c,Manual,,,,,,,
Service Builder,,Test Group 14 - Custom Finder,,,,,,,,,
Service Builder,,Dynamic Query (Docs),14a,Integration,,,,,,,regular portal usage
Service Builder,,Custom Finder with manual SQL,14b,Integration,,,,,,,regular portal usage
Service Builder,,Actionable Dynamic Queries,14c,Integration,,,,,,,regular portal usage
Service Builder,,Test Group 15 - Build parameters (Docs),,,,,,,,,
Service Builder,,apiDirName (Linux),15a,Manual,,,,,,,
Service Builder,,apiDirName (Windows),15b,Manual,,,,,,,
Service Builder,,Test Group 16 - Column Order (Docs),,,,,,,,,
Service Builder,,Ascending/Descending,16a,Integration,,,,,,,regular portal usage
Service Builder,,Case sensitive,16b,Integration,,,,,,,regular portal usage
Service Builder,,Test Group 17 - Service Builder update,,,,,,,,,
Service Builder,,Core update,17a,Integration,,,,,,,service-builder-jdk8
Setup Wizard,Setup Wizard,,,,,,,,,,
Setup Wizard,,Test Group 1 - Initial Setup Wizard setup,,,,,,,,,
Setup Wizard,,Enabling Setup Wizard,1a,Functional,-,3,,,,,SetupWizard#HypersonicToMySQL
Setup Wizard,,Disabling Setup Wizard,1b,Functional,-,4,,,,,Most functional tests cover this
Setup Wizard,,Test Group 2 - Configuring Setup Wizard,,,,,,,,,
Setup Wizard,,Portal Config,2a,Functional,-,5,,,,,https://issues.liferay.com/browse/LRQA-53929
