Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name
Config Admin,,Confirm bundle activator registration,1a,Integration,-,,,,,,ConfigurationPersistenceManagerTest#testConfigurationPersistenceManager
Config Admin,,Assert methods with Factory Configuration,1b,Integration,-,,,,,,ConfigurationPersistenceManagerTest#testCreateFactoryConfiguration
Config Admin,,Exists,1c,Integration,-,,,,,,ConfigurationPersistenceManagerTest#testExists
Config Admin,,Get Configuration,1d,Integration,-,,,,,,ConfigurationPersistenceManagerTest#testGetConfiguration
Config Admin,,Test Group 2 - Migration tool warnings,,,,,,,,,
Config Admin,,Migration Tool warning system for portal property,2a,Integration,-,,,,,,VerifyProperties#testModularizedPortalKeys
Config Admin,,Migration Tool warning system for system property,2b,Manual,,3,,,,,
Config Admin,,Test Group 3 - Configuration Extender,,,,,,,,,
Config Admin,,Factory Configuration,3a,Integration,-,,,,,,ConfiguratorExtenderTest#testFactoryConfiguration
Config Admin,,Factory configuration when another configuration is created,3b,Integration,-,,,,,,ConfiguratorExtenderTest#testFactoryConfigurationCreatesAnother
Config Admin,,Factory configuration with clashing factoryPid,3c,Integration,-,,,,,,ConfiguratorExtenderTest#testFactoryConfigurationWithClashingFactoryPid
Config Admin,,Factory configuration with clashing multiple contents,3d,Integration,-,,,,,,ConfiguratorExtenderTest#testFactoryConfigurationWithClashingMultipleContents
Config Admin,,Factory configuration with clashing multiple contents and different namespaces,3e,Integration,-,,,,,,ConfiguratorExtenderTest#testFactoryConfigurationWithClashingMultipleContentsAndDifferentNamespaces
Config Admin,,Single configuration,3f,Integration,-,,,,,,ConfiguratorExtenderTest#testSingleConfiguration
Config Admin,,Single configuration respects existing configuration,3g,Integration,-,,,,,,ConfiguratorExtenderTest#testSingleConfigurationRespectsExistingConfiguration
Config Admin,,Single configuration with clashing multiple contents,3h,Integration,-,,,,,,ConfiguratorExtenderTest#testSingleConfigurationWithClashingMultipleContents
Config Admin,,Single configuration with clashing multiple contents and different namespaces,3i,Integration,-,,,,,,ConfiguratorExtenderTest#testSingleConfigurationWithClashingMultipleContentsAndDifferentNamespaces
Config Admin,,Test single configuration with multiple contents,3j,Integration,-,,,,,,ConfiguratorExtenderTest#testSingleConfigurationWithMultipleContents
Config Admin,,Exception in supplier does stop configuration extension,3k,Integration,-,,,,,,ConfiguratorExtenderTest#testExceptionInSupplierDoesNotStopExtension
Config Admin,,Create Factory Configuration,3l,Integration,-,,,,,,ConfigurationDescriptionFactoryImplTest#testCreateFactoryConfiguration
Config Admin,,Returns null when not properties file named configuration content,3m,Integration,-,,,,,,ConfigurationDescriptionFactoryImplTest#testCreateReturnsNullWhenNotPropertiesFileNamedConfigurationContent
Config Admin,,Create Single Configuration,3n,Integration,-,,,,,,ConfigurationDescriptionFactoryImplTest#testCreateSingleConfiguration
Config Admin,,Create configuration path content factory,3o,Integration,-,,,,,,NamedConfigurationPathContentFactoryTest#testCreate
